Note: Find "Node(s) placed on [CPUExecutionProvider]" and "Node(s) placed on [VitisAIExecutionProvider]" to see what operators are used for each EP.
Looks like the VitisAIEP just gets MATMULNBITS partitioned to it, but for some reason the nodes' names are just "vitis_ai_ep_[x]" unlike with the CPU nodes.

Command: python .\infer.py --model_name meta-llama/Llama-2-7b-hf --target aie --model_dir llama2/quant --profile --task benchmark
2024-09-16 08:45:40.7537305 [I:onnxruntime:, inference_session.cc:533 onnxruntime::InferenceSession::TraceSessionOptions] Session Options {  execution_mode:0 execution_order:DEFAULT enable_profiling:0 optimized_model_filepath: enable_mem_pattern:1 enable_mem_reuse:1 enable_cpu_mem_arena:1 profile_file_prefix:onnxruntime_profile_ session_logid: session_log_severity_level:0 session_log_verbosity_level:0 max_num_graph_transformation_steps:10 graph_optimization_level:3 intra_op_param:OrtThreadPoolParams { thread_pool_size: 0 auto_set_affinity: 0 allow_spinning: 1 dynamic_block_base_: 0 stack_size: 0 affinity_str:  set_denormal_as_zero: 0 } inter_op_param:OrtThreadPoolParams { thread_pool_size: 0 auto_set_affinity: 0 allow_spinning: 1 dynamic_block_base_: 0 stack_size: 0 affinity_str:  set_denormal_as_zero: 0 } use_per_session_threads:1 thread_pool_allow_spinning:1 use_deterministic_compute:0 config_options: {  } }
2024-09-16 08:45:40.7672223 [I:onnxruntime:, inference_session.cc:433 onnxruntime::InferenceSession::ConstructorCommon::<lambda_12543881f457a315fbab14e9df435205>::operator ()] Flush-to-zero and denormal-as-zero are off
2024-09-16 08:45:40.7694634 [I:onnxruntime:, inference_session.cc:441 onnxruntime::InferenceSession::ConstructorCommon] Creating and using per session threadpools since use_per_session_threads_ is true
2024-09-16 08:45:40.7721314 [I:onnxruntime:, inference_session.cc:459 onnxruntime::InferenceSession::ConstructorCommon] Dynamic block base set to 0
2024-09-16 08:45:40.8865465 [I:onnxruntime:, inference_session.cc:1602 onnxruntime::InferenceSession::Initialize] Initializing session.
2024-09-16 08:45:40.8909296 [I:onnxruntime:, inference_session.cc:1639 onnxruntime::InferenceSession::Initialize] Adding default CPU execution provider.
2024-09-16 08:45:40.8958232 [I:onnxruntime:, graph_partitioner.cc:900 onnxruntime::GraphPartitioner::InlineFunctionsAOT] This model does not have any local functions defined. AOT Inlining is not performed
2024-09-16 08:45:40.9023202 [I:onnxruntime:, graph_transformer.cc:15 onnxruntime::GraphTransformer::Apply] GraphTransformer EnsureUniqueDQForNodeUnit modified: 0 with status: OK
2024-09-16 08:45:40.9108305 [I:onnxruntime:, graph_transformer.cc:15 onnxruntime::GraphTransformer::Apply] GraphTransformer Level1_RuleBasedTransformer modified: 1 with status: OK
2024-09-16 08:45:40.9469363 [I:onnxruntime:, graph.cc:4096 onnxruntime::Graph::CleanUnusedInitializersAndNodeArgs] Removing initializer '/model/layers.2/post_attention_layernorm/Constant_2_output_0'. It is no longer used by any node.
2024-09-16 08:45:40.9501411 [I:onnxruntime:, graph.cc:4096 onnxruntime::Graph::CleanUnusedInitializersAndNodeArgs] Removing initializer '/model/layers.26/input_layernorm/Constant_2_output_0'. It is no longer used by any node.
2024-09-16 08:45:40.9541406 [I:onnxruntime:, graph.cc:4096 onnxruntime::Graph::CleanUnusedInitializersAndNodeArgs] Removing initializer '/model/layers.7/post_attention_layernorm/Constant_2_output_0'. It is no longer used by any node.
2024-09-16 08:45:40.9569007 [I:onnxruntime:, graph.cc:4096 onnxruntime::Graph::CleanUnusedInitializersAndNodeArgs] Removing initializer '/model/layers.17/input_layernorm/Constant_2_output_0'. It is no longer used by any node.
2024-09-16 08:45:40.9601096 [I:onnxruntime:, graph.cc:4096 onnxruntime::Graph::CleanUnusedInitializersAndNodeArgs] Removing initializer '/model/layers.11/post_attention_layernorm/Constant_2_output_0'. It is no longer used by any node.
2024-09-16 08:45:40.9629290 [I:onnxruntime:, graph.cc:4096 onnxruntime::Graph::CleanUnusedInitializersAndNodeArgs] Removing initializer '/model/layers.6/post_attention_layernorm/Constant_2_output_0'. It is no longer used by any node.
2024-09-16 08:45:40.9657290 [I:onnxruntime:, graph.cc:4096 onnxruntime::Graph::CleanUnusedInitializersAndNodeArgs] Removing initializer '/model/layers.11/input_layernorm/Constant_2_output_0'. It is no longer used by any node.
2024-09-16 08:45:40.9687050 [I:onnxruntime:, graph.cc:4096 onnxruntime::Graph::CleanUnusedInitializersAndNodeArgs] Removing initializer '/model/layers.21/post_attention_layernorm/Constant_2_output_0'. It is no longer used by any node.
2024-09-16 08:45:40.9717709 [I:onnxruntime:, graph.cc:4096 onnxruntime::Graph::CleanUnusedInitializersAndNodeArgs] Removing initializer '/model/layers.4/post_attention_layernorm/Constant_2_output_0'. It is no longer used by any node.
2024-09-16 08:45:40.9746610 [I:onnxruntime:, graph.cc:4096 onnxruntime::Graph::CleanUnusedInitializersAndNodeArgs] Removing initializer '/model/layers.16/post_attention_layernorm/Constant_2_output_0'. It is no longer used by any node.
2024-09-16 08:45:40.9771086 [I:onnxruntime:, graph.cc:4096 onnxruntime::Graph::CleanUnusedInitializersAndNodeArgs] Removing initializer '/model/layers.13/input_layernorm/Constant_2_output_0'. It is no longer used by any node.
2024-09-16 08:45:40.9797474 [I:onnxruntime:, graph.cc:4096 onnxruntime::Graph::CleanUnusedInitializersAndNodeArgs] Removing initializer '/model/layers.31/input_layernorm/Constant_2_output_0'. It is no longer used by any node.
2024-09-16 08:45:40.9823039 [I:onnxruntime:, graph.cc:4096 onnxruntime::Graph::CleanUnusedInitializersAndNodeArgs] Removing initializer '/model/layers.25/input_layernorm/Constant_2_output_0'. It is no longer used by any node.
